comment,transcript
Jokers are getting unnecessary coverage.,Singh has abandoned Justin Trudeau's sinking ship even his own MPS are going against him last week Trudeau's Deputy Prime Minister resigned in protest this week 15 of his party MPS asked him to step down yet the prime minister is marching on his trategy is to ignore the problem Reports say Trudeau had a number of year end press events lined up a lot of them have now been cancelled if elections were to be held today Trudeau would be trounced his party is at 21% support the opposition conservatives are at 43% they are in a hurry to hold elections the conservatives pushed three no confidence votes against Trudeau but all of them failed do you know why because other parties including the NDP opposed it they wanted to keep the conservatives out but on Monday jmit Singh changed his tune he finally asked Justin trudo to step down so chances are the next no confidence vote May succeed and when is that most likely in late January the Canadian Parliament has adjourned for holidays so there is temporary respite for Trudeau it's really a question of how he wants to go does he want a quick exit or does he want to drag it out whatever he chooses one thing is certain Justin Trudeau will not be prime minister Beyond 2025
"Every Canadian that I have heard, is sick and tired of those two, myself included. A no confidence vote should include us, the voters of Canada. The fact that it isn't is an insult to us, the voters",Singh has abandoned Justin Trudeau's sinking ship even his own MPS are going against him last week Trudeau's Deputy Prime Minister resigned in protest this week 15 of his party MPS asked him to step down yet the prime minister is marching on his trategy is to ignore the problem Reports say Trudeau had a number of year end press events lined up a lot of them have now been cancelled if elections were to be held today Trudeau would be trounced his party is at 21% support the opposition conservatives are at 43% they are in a hurry to hold elections the conservatives pushed three no confidence votes against Trudeau but all of them failed do you know why because other parties including the NDP opposed it they wanted to keep the conservatives out but on Monday jmit Singh changed his tune he finally asked Justin trudo to step down so chances are the next no confidence vote May succeed and when is that most likely in late January the Canadian Parliament has adjourned for holidays so there is temporary respite for Trudeau it's really a question of how he wants to go does he want a quick exit or does he want to drag it out whatever he chooses one thing is certain Justin Trudeau will not be prime minister Beyond 2025
"Start calling him ""CIA man Pannun"".","Napoleon said never interrupt your enemy when he's making a mistake but what if that mistake is too funny to ignore that's our dilemma right now because gur patwan Singh panu has released another video and once again he is targeting Russia and once again it's a gem panu says Putin is helping India Target khalistanis he also says Russia was involved in the killing of hardip Singh nider listen to this against Pro kistan 6 is a defal for Russia in the light of newly discovered information in May 2023 Russians hacked shiid nar's telegram account and provided this information to the Indian agents resulting in the assassination of Shahid ner on June 18th simultaneously Russians hacked my telegram account and gave this information to the law officials did you hear that gong sound at the start guess where it came from the entrance music of The Undertaker from WWE I'm not making this up you can check it later on YouTube but stolen bgm aside what panu said is dangerous he's offering $225,000 for a tip off on what on the whereabouts of two diplomats one is India's ambassador to the US Vin quatra and the second is Russia's ambassador to Canada Oleg stepanov panu wants to know about their public engagements now there are two things to note here one the big money being offered this is almost 21 lakh Indian rupees for a tip off and two the whole idea of tracking a diplomat it is problematic it's a veil threat to their security and safety but I guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in"
looks like he needs the window experience 😂,Singh has abandoned Justin Trudeau's sinking ship even his own MPS are going against him last week Trudeau's Deputy Prime Minister resigned in protest this week 15 of his party MPS asked him to step down yet the prime minister is marching on his trategy is to ignore the problem Reports say Trudeau had a number of year end press events lined up a lot of them have now been cancelled if elections were to be held today Trudeau would be trounced his party is at 21% support the opposition conservatives are at 43% they are in a hurry to hold elections the conservatives pushed three no confidence votes against Trudeau but all of them failed do you know why because other parties including the NDP opposed it they wanted to keep the conservatives out but on Monday jmit Singh changed his tune he finally asked Justin trudo to step down so chances are the next no confidence vote May succeed and when is that most likely in late January the Canadian Parliament has adjourned for holidays so there is temporary respite for Trudeau it's really a question of how he wants to go does he want a quick exit or does he want to drag it out whatever he chooses one thing is certain Justin Trudeau will not be prime minister Beyond 2025
this is how you stay in the limelight,Singh has abandoned Justin Trudeau's sinking ship even his own MPS are going against him last week Trudeau's Deputy Prime Minister resigned in protest this week 15 of his party MPS asked him to step down yet the prime minister is marching on his trategy is to ignore the problem Reports say Trudeau had a number of year end press events lined up a lot of them have now been cancelled if elections were to be held today Trudeau would be trounced his party is at 21% support the opposition conservatives are at 43% they are in a hurry to hold elections the conservatives pushed three no confidence votes against Trudeau but all of them failed do you know why because other parties including the NDP opposed it they wanted to keep the conservatives out but on Monday jmit Singh changed his tune he finally asked Justin trudo to step down so chances are the next no confidence vote May succeed and when is that most likely in late January the Canadian Parliament has adjourned for holidays so there is temporary respite for Trudeau it's really a question of how he wants to go does he want a quick exit or does he want to drag it out whatever he chooses one thing is certain Justin Trudeau will not be prime minister Beyond 2025
I am a proud sikh but I love my india Waheguru ji ka khalsa waheguru ji ki fateh jai shree ram 🇮🇳 ☬,"Napoleon said never interrupt your enemy when he's making a mistake but what if that mistake is too funny to ignore that's our dilemma right now because gur patwan Singh panu has released another video and once again he is targeting Russia and once again it's a gem panu says Putin is helping India Target khalistanis he also says Russia was involved in the killing of hardip Singh nider listen to this against Pro kistan 6 is a defal for Russia in the light of newly discovered information in May 2023 Russians hacked shiid nar's telegram account and provided this information to the Indian agents resulting in the assassination of Shahid ner on June 18th simultaneously Russians hacked my telegram account and gave this information to the law officials did you hear that gong sound at the start guess where it came from the entrance music of The Undertaker from WWE I'm not making this up you can check it later on YouTube but stolen bgm aside what panu said is dangerous he's offering $225,000 for a tip off on what on the whereabouts of two diplomats one is India's ambassador to the US Vin quatra and the second is Russia's ambassador to Canada Oleg stepanov panu wants to know about their public engagements now there are two things to note here one the big money being offered this is almost 21 lakh Indian rupees for a tip off and two the whole idea of tracking a diplomat it is problematic it's a veil threat to their security and safety but I guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in"
Pannu  unfortunately  had an overdose  of opium. Not his fault😂,"Napoleon said never interrupt your enemy when he's making a mistake but what if that mistake is too funny to ignore that's our dilemma right now because gur patwan Singh panu has released another video and once again he is targeting Russia and once again it's a gem panu says Putin is helping India Target khalistanis he also says Russia was involved in the killing of hardip Singh nider listen to this against Pro kistan 6 is a defal for Russia in the light of newly discovered information in May 2023 Russians hacked shiid nar's telegram account and provided this information to the Indian agents resulting in the assassination of Shahid ner on June 18th simultaneously Russians hacked my telegram account and gave this information to the law officials did you hear that gong sound at the start guess where it came from the entrance music of The Undertaker from WWE I'm not making this up you can check it later on YouTube but stolen bgm aside what panu said is dangerous he's offering $225,000 for a tip off on what on the whereabouts of two diplomats one is India's ambassador to the US Vin quatra and the second is Russia's ambassador to Canada Oleg stepanov panu wants to know about their public engagements now there are two things to note here one the big money being offered this is almost 21 lakh Indian rupees for a tip off and two the whole idea of tracking a diplomat it is problematic it's a veil threat to their security and safety but I guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in"
"Pannu is saying ""आ बैल मुझे मार"" 😂😂😂","Napoleon said never interrupt your enemy when he's making a mistake but what if that mistake is too funny to ignore that's our dilemma right now because gur patwan Singh panu has released another video and once again he is targeting Russia and once again it's a gem panu says Putin is helping India Target khalistanis he also says Russia was involved in the killing of hardip Singh nider listen to this against Pro kistan 6 is a defal for Russia in the light of newly discovered information in May 2023 Russians hacked shiid nar's telegram account and provided this information to the Indian agents resulting in the assassination of Shahid ner on June 18th simultaneously Russians hacked my telegram account and gave this information to the law officials did you hear that gong sound at the start guess where it came from the entrance music of The Undertaker from WWE I'm not making this up you can check it later on YouTube but stolen bgm aside what panu said is dangerous he's offering $225,000 for a tip off on what on the whereabouts of two diplomats one is India's ambassador to the US Vin quatra and the second is Russia's ambassador to Canada Oleg stepanov panu wants to know about their public engagements now there are two things to note here one the big money being offered this is almost 21 lakh Indian rupees for a tip off and two the whole idea of tracking a diplomat it is problematic it's a veil threat to their security and safety but I guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in"
He is joker...he has now messed with both RAW and Putin's Russia.,"Napoleon said never interrupt your enemy when he's making a mistake but what if that mistake is too funny to ignore that's our dilemma right now because gur patwan Singh panu has released another video and once again he is targeting Russia and once again it's a gem panu says Putin is helping India Target khalistanis he also says Russia was involved in the killing of hardip Singh nider listen to this against Pro kistan 6 is a defal for Russia in the light of newly discovered information in May 2023 Russians hacked shiid nar's telegram account and provided this information to the Indian agents resulting in the assassination of Shahid ner on June 18th simultaneously Russians hacked my telegram account and gave this information to the law officials did you hear that gong sound at the start guess where it came from the entrance music of The Undertaker from WWE I'm not making this up you can check it later on YouTube but stolen bgm aside what panu said is dangerous he's offering $225,000 for a tip off on what on the whereabouts of two diplomats one is India's ambassador to the US Vin quatra and the second is Russia's ambassador to Canada Oleg stepanov panu wants to know about their public engagements now there are two things to note here one the big money being offered this is almost 21 lakh Indian rupees for a tip off and two the whole idea of tracking a diplomat it is problematic it's a veil threat to their security and safety but I guess this is puu's new strategy to drag Russia into his bogus conspiracy Theory just one word of caution though maybe avoid tall buildings and balconies Russia has condemned these statements by panu they're also taking this issue this issue up with Canada last week in fact Russia's mission in"
International joker after Trudeau 😂😂😂,Singh has abandoned Justin Trudeau's sinking ship even his own MPS are going against him last week Trudeau's Deputy Prime Minister resigned in protest this week 15 of his party MPS asked him to step down yet the prime minister is marching on his trategy is to ignore the problem Reports say Trudeau had a number of year end press events lined up a lot of them have now been cancelled if elections were to be held today Trudeau would be trounced his party is at 21% support the opposition conservatives are at 43% they are in a hurry to hold elections the conservatives pushed three no confidence votes against Trudeau but all of them failed do you know why because other parties including the NDP opposed it they wanted to keep the conservatives out but on Monday jmit Singh changed his tune he finally asked Justin trudo to step down so chances are the next no confidence vote May succeed and when is that most likely in late January the Canadian Parliament has adjourned for holidays so there is temporary respite for Trudeau it's really a question of how he wants to go does he want a quick exit or does he want to drag it out whatever he chooses one thing is certain Justin Trudeau will not be prime minister Beyond 2025
Let us Listen to the Voice of God Through the Holy Souls in Purgatory by Sensus Fidelium.,"allegations that the Serbian government is very - - closely linked to organized crime groups, including Belivuk’s group. I visited my Serbian colleague, Stevan Dojčinović, in Belgrade. He is probably the most renowned investigative journalist in all of Serbia - - known for his investigations into Serbian politicians and organized crime. This is what he told me when I asked him about Belivuk. To understand what Stevan's talking about, we need to take a little step - - back to 2017, three years before “The Slaughterhouse” murders. So police got Belivuk’s phone, and made a report on the WhatsApp messages they found inside. This report was actually first published by the magazine NIN. I also want to make clear that this report on Belivuk’s WhatsApp messages - - was never supposed to fall into the hands of journalists. But there's another incident with this police officer - - that is even more fascinating. It's actually a secret recording of him - - when he’s holding a meeting with Belivuk’s men. A source contacted Stevan and handed over - - an audio recording of this meeting. I want to go now, lastly, back to the messages - - between the gendarme and Belivuk. It wasn't just one rogue police official. It goes much deeper. So here, the gendarme writes to Belivuk: The gendarme mentions a woman named Dijana. He is referring to Dijana Hrkalović as confirmed by the secret police report. So Dijana, the second most powerful police official in Serbia - - failed to hand over the very WhatsApp messages that implicated herself with Belivuk. So is all of this the biggest scandal in Serbia? No. Dijana was only charged with abuse of office, and she's already out of prison. Nothing happened to the gendarme. He is still on the police force as far as we know. The only ones in jail"
 @outlawedTV88  and that is why over 50 000 people leave Serbia every year,"is his story. Veljko Belivuk, who we’ll just call Belivuk, is the leader of a Serbian group called the Principi. In the region, criminal groups get very complicated. So for the purposes of this story, you just need to remember two of them: The Kavač clan. And the Škaljari clan. And they are at war with each other. Now Belivuk’s group, which roughly translates into “The Principled”, is allied with the Kavač. His clan is mostly - - street level muscle and enforcers made up of football hooligans - - supporting Serbia's Partizan football team. When I say football hooligans, you might not take it too seriously. But in the Balkans - - it’s very serious business, with a lot of history and nationalism. And the stadium - - has always been a firm recruiting ground for organized crime groups. So Belivuk’s group is at war. The two groups are assassinated each other with car bombs, snipers, you name it. They are killing and being killed. But these sorts of murders left bodies. So Belivuk’s group developed a motto: “no body, no crime.” And a unique place to realize it for their enemies. They called it “The Slaughterhouse.” Our understanding of what happened - - is from the testimony of three crew members turned witnesses, the indictment, and the Sky messages exchanged as the crew went about planning these murders. At the same time, it's very important for me to say that the trial is ongoing. No one has been convicted, and the accused deny the charges. This was the first victim of the slaughterhouse - - for which we have ample photographic and Sky evidence. He was actually Belivuk’s friend and a member of the group. But Belivuk got the idea that he was a traitor. Belivuk had a clear message… From the day of the murder, we have CCTV stills"
"​ @ruskar.6636 
true! what was previously called Yugoslavia was part of America, you are not to blame for anything, it is always the others, especially the Americans.","is his story. Veljko Belivuk, who we’ll just call Belivuk, is the leader of a Serbian group called the Principi. In the region, criminal groups get very complicated. So for the purposes of this story, you just need to remember two of them: The Kavač clan. And the Škaljari clan. And they are at war with each other. Now Belivuk’s group, which roughly translates into “The Principled”, is allied with the Kavač. His clan is mostly - - street level muscle and enforcers made up of football hooligans - - supporting Serbia's Partizan football team. When I say football hooligans, you might not take it too seriously. But in the Balkans - - it’s very serious business, with a lot of history and nationalism. And the stadium - - has always been a firm recruiting ground for organized crime groups. So Belivuk’s group is at war. The two groups are assassinated each other with car bombs, snipers, you name it. They are killing and being killed. But these sorts of murders left bodies. So Belivuk’s group developed a motto: “no body, no crime.” And a unique place to realize it for their enemies. They called it “The Slaughterhouse.” Our understanding of what happened - - is from the testimony of three crew members turned witnesses, the indictment, and the Sky messages exchanged as the crew went about planning these murders. At the same time, it's very important for me to say that the trial is ongoing. No one has been convicted, and the accused deny the charges. This was the first victim of the slaughterhouse - - for which we have ample photographic and Sky evidence. He was actually Belivuk’s friend and a member of the group. But Belivuk got the idea that he was a traitor. Belivuk had a clear message… From the day of the murder, we have CCTV stills"
Mexico in Europe huh,"this story is because these supposedly - - uncrackable, highly encrypted phones were, in fact, cracked. And here's how it happened. Most people are familiar with mobile apps like Messenger, WhatsApp, Telegram, and Signal. These are the most popular services that offer encryption. They're all thought to be secure to some extent, meaning authorities are not known to be able to break the encryption - - and read the messages. But this group was using modified phones and software - - made by a company in Canada called Sky Global. They were advertised as some form of ultimate security. In addition to strong encryption, they had features like self-destructing messages - - and the ability to wipe the phone remotely. Now in 2019, European authorities started a cross-border investigation - - because they suspected that - - these phones were being almost exclusively used by criminals. The authorities discovered the backup servers were in France. And in 2020, a specialized encryption unit is able - - to crack the group messages feature of these Sky phones. So now authorities are able to secretly read over 2 million messages. And this is about the same time - - that the gruesome murders in the Serbian home start taking place. We can deduce that European authorities - - decrypted these extremely gruesome photos, grew extremely concerned, and decided to share these photos with Serbian authorities. And once Serbian authorities get this information, they're able - - to determine that one of the suspects is actually quite famous. His name is Veljko Belivuk. And this is his story. Veljko Belivuk, who we’ll just call Belivuk, is the leader of a Serbian group called the Principi. In the region, criminal groups get very complicated. So for the purposes of this story, you just need to remember two of them: The Kavač clan. And the Škaljari clan."
​ @panamahub we've got Mexico all over America to where Caucasians and US native Americans are the minority,"this story is because these supposedly - - uncrackable, highly encrypted phones were, in fact, cracked. And here's how it happened. Most people are familiar with mobile apps like Messenger, WhatsApp, Telegram, and Signal. These are the most popular services that offer encryption. They're all thought to be secure to some extent, meaning authorities are not known to be able to break the encryption - - and read the messages. But this group was using modified phones and software - - made by a company in Canada called Sky Global. They were advertised as some form of ultimate security. In addition to strong encryption, they had features like self-destructing messages - - and the ability to wipe the phone remotely. Now in 2019, European authorities started a cross-border investigation - - because they suspected that - - these phones were being almost exclusively used by criminals. The authorities discovered the backup servers were in France. And in 2020, a specialized encryption unit is able - - to crack the group messages feature of these Sky phones. So now authorities are able to secretly read over 2 million messages. And this is about the same time - - that the gruesome murders in the Serbian home start taking place. We can deduce that European authorities - - decrypted these extremely gruesome photos, grew extremely concerned, and decided to share these photos with Serbian authorities. And once Serbian authorities get this information, they're able - - to determine that one of the suspects is actually quite famous. His name is Veljko Belivuk. And this is his story. Veljko Belivuk, who we’ll just call Belivuk, is the leader of a Serbian group called the Principi. In the region, criminal groups get very complicated. So for the purposes of this story, you just need to remember two of them: The Kavač clan. And the Škaljari clan."
